# ----------------------------------------
# Tráfico de búsqueda orgánica de Google: Página de destino y cadena de consulta
# Cuenta: Luuma
# Propiedad: www.luumarooftop.com
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260521
# Fecha de finalización: 20260818
Página de destino y cadena de consulta,Clics de la Búsqueda de Google orgánica,Impresiones de la Búsqueda de Google orgánica,Porcentaje de clics de la Búsqueda de Google orgánica,Posición media en la Búsqueda de Google orgánica,Usuarios activos,Sesiones con interacción,Porcentaje de interacciones,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Ingresos publicitarios
/,232,6356,0.03650094398993078,6.1266519823788546,361,415,0.83,110.61218836565097,3145,23,0
/recetas-cocina/platos-tipicos-manabi-guia-definitiva/,186,11357,0.016377564497666638,4.956238443250859,182,99,0.5238095238095238,40.6978021978022,705,0,0
/recetas-cocina/platos-tipicos-manta-ecuador/,172,7540,0.022811671087533156,3.5118037135278515,143,85,0.5448717948717948,30.25874125874126,620,0,0
/vida-en-manta/que-hacer-manta-ecuador-guia-turistica/,118,11192,0.01054324517512509,7.590153681200857,144,102,0.6496815286624203,75.04861111111111,733,2,0
/recetas-cocina/gastronomia-manabi-costa-ecuatoriana/,110,10384,0.01059322033898305,6.757222650231125,103,60,0.5309734513274337,42.300970873786405,444,0,0
/menu/,92,3692,0.024918743228602384,7.41088840736728,109,307,0.5727611940298507,632.2385321100918,2371,1,0
/eventos-entretenimiento/vida-nocturna-manta/,90,3947,0.022802128198631873,6.230554851786167,80,43,0.5,29.3375,363,3,0
/gastronomia-manta/mejores-restaurantes-manta-ecuador/,68,5204,0.013066871637202153,7.577248270561107,64,32,0.47058823529411764,27.609375,262,3,0
/vida-en-manta/playas-manta-cual-elegir/,58,7547,0.007685172916390618,7.594010865244468,60,35,0.5384615384615384,75.36666666666666,263,0,0
/gastronomia-manta/restaurantes-la-quadra-manta/,40,3390,0.011799410029498525,7.176401179941003,36,21,0.5833333333333334,32.833333333333336,155,0,0
/gastronomia-manta/restaurantes-baratos-manta/,35,1869,0.018726591760299626,6.920813269127876,32,17,0.53125,39.53125,125,0,0
/eventos-entretenimiento/restaurantes-cumpleanos-manta/,34,566,0.06007067137809187,5.692579505300353,30,21,0.6774193548387096,54.5,138,0,0
/vida-en-manta/compras-en-manta-donde-comprar/,34,808,0.04207920792079208,5.204207920792079,26,18,0.5806451612903226,51.96153846153846,112,0,0
/cocteles-mixologia/bares-en-manta-ecuador/,31,2201,0.014084507042253521,5.830077237619264,26,14,0.5185185185185185,28.884615384615383,107,0,0
/eventos-entretenimiento/eventos-musica-vivo-manta-agenda/,26,1380,0.01884057971014493,6.168115942028986,26,17,0.5862068965517241,29.26923076923077,116,0,0
/gastronomia-manta/parrilladas-en-manta/,23,2704,0.008505917159763314,6.91198224852071,21,11,0.5238095238095238,56.095238095238095,95,0,0
/recetas-cocina/corviche-manabita-receta/,21,1824,0.011513157894736841,7.635964912280702,20,10,0.4166666666666667,42.9,93,0,0
/gastronomia-manta/menu-ejecutivo-manta-almorzar/,19,1253,0.015163607342378291,6.49561053471668,18,11,0.55,43.72222222222222,85,0,0
/gastronomia-manta/almuerzos-manta-por-zona/,18,989,0.01820020222446916,6.613751263902932,17,9,0.5294117647058824,80.29411764705883,72,0,0
/recetas-cocina/comida-criolla-manabita-tradicion/,18,2712,0.00663716814159292,7.756637168141593,19,14,0.7368421052631579,20.526315789473685,80,0,0
/vida-en-manta/faro-san-lorenzo-manta-guia/,17,1230,0.013821138211382113,7.099186991869919,18,8,0.42105263157894735,45.44444444444444,70,0,0
/vida-en-manta/ruta-spondylus-paradas-desde-manta/,17,1459,0.011651816312542838,6.3043180260452365,17,10,0.5882352941176471,87.11764705882354,66,0,0
/vida-en-manta/playas-de-manta-ecuador/,15,4950,0.0030303030303030303,8.937575757575758,13,7,0.5,19.307692307692307,53,0,0
/gastronomia-manta/desayunos-en-manta/,14,1361,0.010286554004408524,7.847905951506245,13,5,0.38461538461538464,13.923076923076923,55,0,0
/gastronomia-manta/restaurantes-frente-al-mar-manta/,14,1392,0.010057471264367816,7.415948275862069,15,13,0.8125,112.93333333333334,88,2,0
/vida-en-manta/transporte-en-manta-guia-visitante/,13,1077,0.012070566388115135,5.29155060352832,15,11,0.7333333333333333,36.266666666666666,56,0,0
/gastronomia-manta/restaurantes-pet-friendly-manta/,11,186,0.05913978494623656,5.139784946236559,10,7,0.7,43.2,50,1,0
/recetas-cocina/atun-manta-capital-atunera/,11,830,0.01325301204819277,6.330120481927711,11,5,0.45454545454545453,14.363636363636363,41,0,0
/vida-en-manta/cenar-manta-vista-mar-restaurantes-romanticos/,11,364,0.03021978021978022,5.321428571428571,9,7,0.7777777777777778,87.44444444444444,45,0,0
/eventos-entretenimiento/restaurantes-eventos-privados-manta/,10,322,0.031055900621118012,7.84472049689441,12,5,0.4166666666666667,95.08333333333333,46,0,0
/gastronomia-manta/restaurantes-para-cenar-manta/,10,638,0.01567398119122257,8.03448275862069,9,8,0.8,52.888888888888886,45,0,0
/vida-en-manta/clima-manta-mejor-epoca-visitar/,10,1070,0.009345794392523364,4.722429906542056,12,6,0.5,69.25,46,0,0
/recetas-cocina/comida-de-mar-manta/,9,1571,0.005728835136855506,8.457033736473583,8,6,0.75,23.375,37,0,0
/vida-en-manta/planes-en-pareja-manta/,9,236,0.038135593220338986,4.915254237288135,7,6,0.75,27.142857142857142,35,0,0
/eventos-entretenimiento/planes-familia-manta-fin-de-semana/,8,162,0.04938271604938271,5.648148148148148,6,4,0.6666666666666666,85.5,25,0,0
/recetas-cocina/postres-en-manta/,8,796,0.010050251256281407,6.78643216080402,8,6,0.6666666666666666,11.125,33,0,0
/cocteles-mixologia/cerveza-artesanal-manta/,7,932,0.0075107296137339056,8.151287553648068,7,7,0.875,31.714285714285715,33,0,0
/gastronomia-manta/hamburguesas-en-manta/,7,799,0.008760951188986232,7.83854818523154,5,2,0.3333333333333333,18.6,22,0,0
/recetas-cocina/ceviche-manabita-receta-original/,7,494,0.01417004048582996,6.0951417004048585,7,3,0.42857142857142855,21,25,0,0
/cocteles-mixologia/cervezas-artesanales-ecuador-manta/,6,1010,0.005940594059405941,7.72970297029703,4,3,0.75,45.25,18,0,0
/eventos-entretenimiento/actividades-pareja-manta-romantico/,6,158,0.0379746835443038,5.968354430379747,6,5,0.8333333333333334,46.833333333333336,27,0,0
/eventos-entretenimiento/fiestas-fin-ano-manta/,6,60,0.1,7.183333333333334,5,5,1,34.4,26,0,0
